Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0003079,Item Receipt,2024-07-11,Jul 2024,ITE-876207,Received,Yes,AWS,1200,Inventory,Travel & meals,SKU-TRNG-01,Admin Training,2.15,Hour,357.85,USD,1.0,15638.73,1368.39,17007.12,15638.73,Enso EU,US-East,HR,Mid-Market,,,
TXN-0003080,Item Receipt,2024-07-04,Jul 2024,ITE-409432,Received,Yes,Deloitte,1200,Inventory,License renewal,SKU-SUP-STD,Standard Support,1.35,Month,2259.43,USD,1.0,4495.86,0.0,4495.86,4495.86,Enso UK,US-West,Marketing,Internal,,,
TXN-0003081,Bill,2024-07-09,Jul 2024,BIL-249362,Partially Paid,Yes,AWS,6100,R&D Expense,Promotion credit,SKU-TRNG-01,Admin Training,1.0,Hour,1674.77,USD,1.0,677.57,0.0,677.57,677.57,Enso US,US-East,Operations,Mid-Market,Net 30,,
TXN-0003082,Journal Entry,2024-07-23,Jul 2024,JOU-631119,Posted,Yes,Cloudflare,1100,Accounts Receivable,Monthly charge,,,,,,USD,1.0,28473.1,0.0,28473.1,28473.1,Enso UK,US-West,Operations,Enterprise,,,
TXN-0003083,Customer Payment,2024-07-19,Jul 2024,CUS-780633,Undeposited,Yes,Globex LLC,4200,Product Revenue,Promotion credit,,,,,,USD,1.0,16327.24,0.0,16327.24,16327.24,Enso US,US-East,Operations,Enterprise,,Check,
TXN-0003084,Bill,2024-07-30,Jul 2024,BIL-839931,Partially Paid,Yes,Zoom,6100,R&D Expense,Monthly charge,SKU-TRNG-01,Admin Training,7.41,Hour,2993.22,USD,1.0,9872.18,493.61,10365.79,9872.18,Enso UK,US-West,Operations,Mid-Market,Net 30,,
TXN-0003085,Invoice,2024-07-03,Jul 2024,INV-861749,Open,Yes,Aperture Corp,4100,Services Revenue,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,3.7,Each,1268.28,GBP,1.27,5778.06,0.0,5778.06,7338.14,Enso UK,EU-Central,Operations,Mid-Market,Due on Receipt,,
TXN-0003086,Vendor Payment,2024-07-06,Jul 2024,VEN-543072,Processed,Yes,Fastly,6200,G&A Expense,License renewal,,,,,,USD,1.0,12354.92,0.0,12354.92,12354.92,Enso US,EU-Central,R&D,Enterprise,,ACH,
TXN-0003087,Bill,2024-07-01,Jul 2024,BIL-799236,Paid In Full,Yes,Accenture,5000,COGS,Monthly charge,SKU-TRNG-01,Admin Training,8.86,Hour,1006.58,USD,1.0,5984.07,299.2,6283.27,5984.07,Enso US,UK-South,HR,Mid-Market,Net 45,,
TXN-0003088,Vendor Payment,2024-07-20,Jul 2024,VEN-979508,Processed,Yes,Cisco,6000,Sales & Marketing,Quarterly true-up,,,,,,USD,1.0,1389.32,0.0,1389.32,1389.32,Enso UK,US-East,Marketing,SMB,,Wire,
TXN-0003089,Credit Memo,2024-07-08,Jul 2024,CRE-237424,Open,Yes,Stark LLC,4100,Services Revenue,Quarterly true-up,SKU-TRNG-01,Admin Training,5.35,Hour,569.87,EUR,1.09,-1641.4,0.0,-1641.4,-1789.13,Enso UK,US-East,R&D,Enterprise,,,
